,artist,title,stream_count
0,massive attack,mezzanine,231115528
1,krallice,prelapsarian,53866
2,uranium club,all of them naturals,975707
4,taso,new start,196363
5,various artists,insecure (music from the hbo original series),447163706
6,little simz,stillness in wonderland,20851469
7,yotam avni,tehillim,33449
8,brian eno,reflection,856016
10,harry bertoia,clear sounds/perfetta,3830
11,run the jewels,run the jewels 3,192181695
12,steven warwick,nadir,45637
14,"smoke dza, pete rock",don't smoke rock,9013587
18,jamire williams,///// effectual,38185
19,the-dream,love you to death,16936653
20,worm ouroboros,what graceless dawn,53017
22,elder ones,holy science,8170
23,the microphones,"early tapes, 1996-1998",737475
24,ben frost,the wasp factory,138215
25,kacey musgraves,a very kacey christmas,22531992
26,jay som,turn into,6902416
27,rashad becker,traditional music of notional species vol. ii,100135
29,ab-soul,do what thou wilt.,92906310
30,pantera,the great southern trendkill,39428216
31,gucci mane,the return of east atlanta santa,339572240
33,kid cudi,"passion, pain & demon slayin",237450040
34,sammus,pieces in space,1090946
35,hodgy,fireplace: thenottheotherside,4757128
37,a-trak,in the loop: a decade of remixes,2937885
38,jess williamson,heart song,914174
39,kevin abstract,american boyfriend: a suburban love story,101089670
40,adr,throat,76436
41,deadmau5,w:/2016album/,78915068
42,jessy lanza,oh no no no remixes ep,374465
43,peter broderick,grunewald,35430848
44,qasim naqvi,chronology,1176
45,post malone,stoney,5021443696
49,j. cole,4 your eyez only,1089386792
51,flume,skin companion ep i,23854478
53,jeff buckley,sketches for my sweetheart the drunk,24906390
54,various artists,the hamilton mixtape,203198208
55,saba,bucket list project,92448713
57,simian mobile disco,welcome to sideways,1147420
61,blessed initiative,blessed initiative,35299
62,neil young,peace trail,11865205
63,soundgarden,badmotorfinger,95401273
64,nick hook,relationships,1667984
66,the rolling stones,blue & lonesome,63357832
69,alex izenberg,harlequin,2579777
70,childish gambino,"awaken, my love",991162276
72,miranda lambert,the weight of these wings,172407022
73,denitia and sene,love and noir.,1366105
74,john legend,darkness and light,417790901
76,coldcut,only heaven,954503
77,"joan as police woman, benjamin lazar davis",let it be you,2371039
78,brand new,the devil and god are raging inside me,119432729
79,sun ra,singles,2848009
81,"mica levi, oliver coates",remain calm,831197
82,jay daniel,broken knowz,1607538
83,r.e.m.,out of time,520454032
84,bruno mars,24k magic,2750604956
85,keita sano,keita sano,45012
86,tredici bacci,amore per tutti,37154
87,burial,young death / nightmarket,1338804
88,yg,red friday,86855225
89,you blew it!,abendrot,1734204
90,suzanne kraft,what you get for being young,379065
91,the weeknd,starboy,4518069613
92,various artists,"pc music, vol. 2",14824630
93,monster rally,mystery cove,4259344
94,"steve reich, terry riley",six pianos / keyboard study #1,209113
95,justice,woman,20135416
96,demdike stare,wonderland,654857
98,rainbow arabia,l.a. heartbreak,73733
99,kate bush,before the dawn,763915
101,meredith monk,on behalf of nature,590540
102,pavo pavo,young narrator in the breakers,1527638
103,via app,sixth stitch,118836
104,ice cube,death certificate,133222940
105,dawn richard,redemption,4001306
107,sarah davachi,vergers,234231
110,gillian welch,boots no. 1: the official revival bootleg,7358702
111,jeff rosenstock,worry.,17888374
112,kristin hersh,wyatt at the coyote palace,252480
113,metallica,hardwired...to self-destruct,336290954
115,mike watt,ring spiel tour 95,90451
116,daniel bachman,daniel bachman,1401212
117,autechre,incunabula,3533139
118,body/head,no waves,28921
119,his name is alive,patterns of light,41990
120,radian,on dark silent off,119383
122,leonard cohen,im your man,61062209
123,tinashe,nightride,53843426
124,various artists,"the microcosm: visionary music of continental europe, 1970-1986",755926
125,papa m,highway songs,32132
126,yaroze dream suite,yaroze dream suite,46969
127,thee oh sees,an odd entrances,211028
129,marching church,telling it like it is,1406691
130,devonwho,luz,593863
131,a tribe called quest,we got it from here... thank you 4 your service,178189805
132,sad13,slugger,681855
133,j.g. biberkopf,ecologies ii: ecosystems of excess,42821
134,animals as leaders,the madness of many,22478153
135,washington phillips,washington phillips and his manzarene dreams,261875
136,dedekind cut,$uccessor (ded004),847003
137,michael mayer,&,5331254
144,bibi bourelly,free the real (pt. 2),22393462
145,loscil,monument builders,3867002
146,peter stampfel,holiday for strings,0
147,"okkyung lee, christian marclay",amalgam,4805
148,minutemen,double nickels on the dime,29363174
150,the men,devil music,452965
151,oren ambarchi,hubris,117203
152,jacuzzi boys,ping pong,1103886
154,kool a.d.,have a nice dream,370401
155,rachel's,systems/layers,4794081
156,helmet,dead to the world,1083290
157,alicia keys,here,100881690
158,topaz jones,arcade,13904903
159,gaika,spaghetto,666049
160,uniform,ghosthouse ,32626
161,the chainsmokers,collage ,3520438812
162,tyvek,origin of what,190103
163,tim buckley,"lady, give me your key: the unissued 1967 solo acoustic sessions",1272836
165,sleigh bells,jessica rabbit,7826588
166,jeezy,trap or die 3,84172877
167,shirley collins,lodestar,284245
168,kadhja bonet,the visitor ,8578350
169,soft hair,soft hair,11985714
170,jim james,eternally even,23734279
171,a$ap mob,cozy tapes vol. 1: friends-,259679364
172,lou barlow,apocalypse fetish,153611
173,mannequin pussy,romantic,3227237
174,abba,arrival,471567238
175,fugees,blunted on reality,23084775
177,oddcouple,liberation,345316
179,common,black america again,16128414
180,ricky eat acid,talk to you soon,1333885
182,carla dal forno,you know what its like,2126508
183,pussy riot,xxx,3163687
186,the olympians,the olympians,10787687
187,meek mill,dc4,332809233
189,kassem mosse,disclosure,161037
190,the dillinger escape plan,dissociation,8761844
192,american wrestlers,goodbye terrible youth,475165
193,tove lo,lady wood,147796305
194,steve hauschildt,strands,990645
195,lambchop,flotus,6753726
197,dj rude one,onederful,169053
199,khemmis,hunted,1566277
200,bob dylan,blood on the tracks,129423375
201,joe budden,rage & the machine,10735785
202,gord downie,secret path,1873864
203,roy montgomery,r m h q: headquarters,213837
204,"patrick cowley, candida royalle",candida cosmica,36919
206,the radio dept.,running out of love,7741464
207,luis,dreamt takes,69497
208,donny mccaslin,beyond now,647465
210,david crosby,lighthouse,4186659
211,jojo,mad love.,190078012
212,n.m.o.,nordic mediterranean organization / numerous miscommunications occur,10560
213,american football,american football,36177938
215,jubilee,after hours,665655
216,crying,beyond the fleeting gales,2812402
217,lady gaga,joanne,940297173
218,tanya tagaq,retribution,439028
219,oval,popp,157996
221,leonard cohen,you want it darker,87861812
222,male bonding,headache,71389
223,savoy motel,savoy motel,746753
224,oozing wound,whatever forever,169135
225,from indian lakes,everything feels better now,7647179
226,ramones,end of the century,42385055
227,jimmy eat world,integrity blues,35671033
228,various artists,say yes! a tribute to elliott smith,1168006
229,meshuggah,the violent sleep of reason,18041900
230,axis: sova,motor earth,0
231,gucci mane,woptober,101526427
234,gods wisdom,self restraint,1678
235,kings of leon,walls,406891026
236,katie gately,color,298086
237,jagwar ma,every now & then,13148411
238,matt kivel,fires on the plain,546501
239,weyes blood,front row seat to earth,13667295
241,powell,sport,404368
242,wife,standard nature,66834
244,regina spektor,remember us to life,30227537
245,darkthrone,arctic thunder,2103881
247,jamie lidell,building a beginning,7313133
248,terry allen,lubbock (on everything),1432721
249,mono,requiem for hell,1344392
251,warehouse,super low,952816
252,randy newman,good old boys,5063962
253,the orb,"cow / chill out, world!",1704646
254,lizzo,coconut oil ,210872998
255,marie davidson,adieux au dancefloor,1897717
256,purling hiss,high bias,93766
258,the shaggs,philosophy of the world,1136324
260,dusky,outer,17768810
261,big star,complete third,7687563
262,swet shop boys,cashmere,6015719
263,youandewan,there is no right time,2911587
264,emma ruth rundle,marked for death,4931795
265,conor oberst,ruminations,12529275
266,joyce manor,cody,17310152
267,banks,the altar,162755187
269,hiss golden messenger,heart like a levee,20652580
270,norah jones,day breaks,115515012
271,g perico,shit don't stop,3409786
272,brookzill!,throwback to the future,270339
273,green day,revolution radio,245636838
274,goat,requiem ,3372236
275,mv & ee,root/void,42031
276,gatecreeper,sonoran depravation,2547224
277,candiria,while they were sleeping,502298
278,janet jackson,rhythm nation 1814,47158647
279,oasis,be here now,209960065
280,helado negro,private energy,2257663
282,opeth,sorceress,26153148
283,moses sumney,lamentations ,6061131
284,phish,big boat,9377290
285,phantogram,three,102341183
287,pixies,head carrier,15767483
288,francis and the lights,"farewell, starlite!",67804750
289,neurosis,fires within fires,1130773
291,solange,a seat at the table,306996694
292,balance and composure,light we made,13303244
293,supersilent,13,38780
294,bruce haack,the electric lucifer,251444
295,jenny hval,blood bitch,5205132
298,oathbreaker,rheia,3750052
299,aaron abernathy,monologue,105571
300,danny brown,atrocity exhibition,69019618
301,innanet james,quebec place,3712681
303,"masayoshi fujita, jan jelinek",schaum,685866
304,guided by voices,alien lanes,11675195
305,bob weir,blue mountain,6003608
306,s u r v i v e,rr7349,8701922
308,carl stone,electronic music from the seventies and eighties,41837
309,bon iver,"22, a million",307811819
310,mike & rich,expert knob twiddlers,363906
311,thomas brinkmann,a 1000 keys,8989
312,psychic tv,alienist,125596
313,nicolas jaar,sirens,23049145
314,warpaint,heads up,50436523
315,moor mother,fetish bones,433295
317,mick jenkins,the healing component,49399289
318,ty dolla $ign,campaign,169476519
319,flock of dimes,"if you see me, say yes",2789033
320,lvl up,return to love,3532604
321,devendra banhart,ape in pink marble,33662157
322,machinedrum,human energy,6404268
323,chinx,legends never die,8011995
324,itasca,open to chance,2038459
325,how to dress well,care,6697160
326,fleetwood mac,mirage,40507318
327,merchandise,a corpse wired for sound,1611871
328,beach slang,a loud bash of teenage feelings,2929905
329,alunageorge,i remember,156461654
330,erykah badu,mamas gun,96675636
331,against me!,shape shift with me,12391211
332,the gaslamp killer,instrumentalepathy,2817075
333,crooked man,crooked man,355645
334,eola,dang,154617
335,"hamilton leithauser, rostam",i had a dream that you were mine,57909652
336,local natives,sunlit youth,148639216
337,biosphere,departed glories,1494015
338,mykki blanco,mykki,4884768
339,bruce springsteen,chapter and verse,465165427
340,die antwoord,mount ninji and da nice time kid,111577264
341,dyke drama,up against the bricks,59278
342,a tribe called red,we are the halluci nation,12267543
343,usher,hard ii love,206797749
344,pallbearer,fear and fury,1670011
345,kool keith,feature magnetic,1159177
346,randy newman,the randy newman songbook,8279107
347,led zeppelin,the complete bbc sessions,75421773
348,various artists,imaginational anthem vol. 8 : the private press,93889
349,grumbling fur,furfour,278822
350,croatian amor,love means taking action,495769
351,preoccupations,preoccupations,4235996
352,robert glasper experiment,artscience,5200210
353,mndsgn,body wash,9872487
354,sumerlands,sumerlands,877821
355,brian eno,another green world,18743623
356,mac miller,the divine feminine ,529503608
360,cymbals eat guitars,pretty years,2419340
362,silver apples,clinging to a dream,267971
364,"kaitlyn aurelia smith, suzanne ciani",sunergy,311264
365,fudge,lady parts,192975
366,wrekmeister harmonies,light falls,226325
367,tim presley,the wink,107061
368,nick cave & the bad seeds,skeleton tree,35141475
370,cristian vogel,the assistenz,24850
371,el perro del mar,kokoro,2127267
372,m.i.a.,aim ,69018792
373,neil young,time fades away,1527154
376,jack white,acoustic recordings 1998-2016,154599504
378,alpha 606,afro-cuban electronics,59048
379,adam torres,pearls to swine,9151801
381,caetano veloso,caetano veloso,19026524
383,okkervil river,away,3379455
384,banks & steelz,anything but words,10346468
385,lisa/liza,deserts of youth,178695
386,wilco,schmilco,31455267
387,daniel lanois,goodbye to language,1363316
388,drugdealer,the end of comedy,29637238
389,james vincent mcmorrow,we move,76511282
390,travis scott,birds in the trap sing mcknight,2046896173
391,p.s. eliot,2007-2011,2668168
392,carly rae jepsen,emotion side b,51362444
393,inc. no world,as light as light,531583
394,isaiah rashad,the suns tirade ,292982707
395,eluvium,false readings on,11695811
396,circle,circle 1: live in germany concert,0
397,bibio,the serious ep,2947632
398,zomby,ultra,1456803
399,teenage fanclub,here,4511716
400,clipping.,splendor & misery,5475773
401,yohuna,patientness,152514
402,terry riley,a rainbow in curved air,682158
403,de la soul,and the anonymous nobody...,42724301
404,mekons,existentialism,90334
405,nots,cosmetic,238961
406,d.a.r.k.,science agrees,907581
407,angel olsen,my woman,71466946
409,serpentwithfeet,blisters,3733785
410,william basinski,92982,2046444
411,young thug,jeffery,750930867
414,funk factory,funk factory,821122
416,the beach boys,becoming the beach boys: the complete hite & dorinda morgan sessions,4692914
417,jon hopkins,opalescent,30406983
418,the dead c,trouble,12989
419,vince staples,prima donna ,36314173
420,crystal castles,amnesty (i),25658440
422,nathan bowles,whole & cloven,331372
423,cass mccombs,mangy love,55553234
425,subrosa,for this we fought the battle of ages,691501
426,motion graphics,motion graphics,727261
427,the roots,things fall apart,86164113
430,controlled bleeding,larva lumps and baby bumps,75800
431,cassius,ibifornia ,9953865
433,feral,nexus,29155
434,carl broemel,4th of july,3099720
435,frank ocean,blonde,1327775161
437,peter broderick,partners,1047096
439,tory lanez,i told you,592133843
440,brendan canning,home wrecking years,343034
444,tree,i.b. tree,0
445,mild high club,skiptracing,69268835
448,scott hirsch,blue rider songs,485828
449,morgan delt,phase zero,8212393
451,stevie wonder,songs in the key of life,308363173
452,ka,honor killed the samurai,2471327
454,jefre cantu-ledesma,in summer,839235
456,dj earl,open your eyes,354566
457,sonic youth,spinhead sessions,1076718
459,the grifters,crappin you negative,113355
460,gonjasufi,callus,1086795
461,atmosphere,fishing blues,20654440
462,fury,paramount,1369761
463,hockey dad,boronia,24489980
465,kool a.d.,official,230194
466,lexxi,5tarb01,19398
467,alex cameron,jumping the shark,10496792
469,partynextdoor,partynextdoor 3 (p3),584371292
470,pill,convenience,78525
472,lando chill,"for mark, your son",3860918
473,rae sremmurd,sremmlife 2,1306179987
475,roosevelt,roosevelt,45524021
477,pj harvey,dry,6266684
478,2 chainz,daniel son ; necklace don,26645626
479,the chills,kaleidoscope world,5155983
480,ryley walker,golden sings that have been sung,5219122
482,thee oh sees,a weird exits,5629113
483,toro y moi,live from trona,9245080
484,factory floor,25 25,542506
485,themind,summer camp,1379346
486,of montreal,innocence reaches,9439533
487,dj snake,encore,2126210535
488,elvis presley,way down in the jungle room,32457904
490,various artists,the land ost,6603
492,jon bap,what now?,1884363
493,katie dey,flood network,1029542
494,various artists,suicide squad: the album,3436930257
496,zhu,generationwhy,307234111
497,tobacco,sweatbox dynasty,2762829
498,kllo,well worn,25312145
499,wild beasts,boy king,14908268
500,noname,telefone,139299254
501,michal turtle,phantoms of dreamland,94742
502,cluster ensemble,cluster ensemble: plays philip glass,1082
503,michael jackson,dangerous,400395758
504,sunny day real estate,how it feels to be something on,4287453
505,cam & china,cam & china,944886
506,nels cline,lovers,1525239
507,panopticon,revisions of the past,467612
508,dj khaled,major key,497513077
509,trim,1-800 dinosaur presents trim,1468666
510,"delia derbyshire, elsa stansfield",circle of light,45683
511,rival consoles,night melody,5177558
512,descendents,hypercaffium spazzinate,15484905
513,lil uzi vert,the perfect luv tape,695081334
514,haley bonar,impossible dream,3532419
515,blowout,"no beer, no dad",777982
516,dinosaur jr., give a glimpse of what yer not,10474386
517,delroy edwards,hangin at the beach,1175228
518,thunder tillman,jaguar mirror,233912
519,cheena,spend the night with...,248928
520,nao,for all we know,123919413
521,steve aoki,4oki,55754208
522,shy layers,shy layers,469246
523,owen,the king of whys,5503012
524,titus andronicus,s+@dium rock: five nights at the opera,331689
525,hieroglyphic being,the discos of imhotep,227360
526,meshuggah,meshuggah ep,1304626
527,metronome,take down,18922
529,red hot chili peppers,blood sugar sex magik,868172428
530,nina simone,in concert,5475452
531,various artists,sky girl,1276747
532,no joy,drool sucker,250964
533,psalm zero,stranger to violence,25249
534,elza soares, a mulher do fim do mundo (the woman at the end of the world) ,15616486
535,william s. burroughs,let me hang you,72497
536,stwo,d.t.s.n.t. ,22159149
537,frankie reyes,boleros valses y mas,2193957
538,jeremih,late nights: europe,71609036
539,lil durk,lil durk 2x,73084213
540,lori mckenna,the bird & the rifle,9212307
541,tristan perich,noise patterns,11309
542,lil yachty,summer songs 2,87847660
543,russian circles,guidance,8118330
544,florian kupfer,unfinished,30217
545,hammers of misfortune,dead revolution,153227
546,gucci mane,everybody looking,232442863
547,gap dream,this is gap dream,581033
548,shy glizzy,young jefe 2,15639374
549,big business,command your weather,1038798
550,snoop dogg,coolaid,53993537
551,"blu, nottz",titans in the flesh,1211149
552,michael kiwanuka,love & hate,131207474
556,"21 savage, metro boomin",savage mode,816225325
557,wymond miles,call by night,40996
558,the amazing,ambulance,957373
559,jherek bischoff,cistern,356254
560,floating points,kuiper,499376
561,z-ro,drankin & drivin,16167145
562,various artists,gqom oh! x crudo volta mixtape,117391
563,pauline oliveros,four meditations / sound geometries,11683
564,jamila woods,heavn,40502615
565,dreezy,no hard feelings,121957146
566,max romeo,horror zone,949759
567,johnny foreigner,mono no aware,288695
568,ian william craig,centres,517780
569,abra,princess,21132402
570,towkio,community service 2!,4790925
571,wreck and reference,indifferent rivers romance end,311482
572,badbadnotgood,iv,65836191
573,mstrkrft,operator,1399294
574,pylon,pylon live,129968
575,wolfgang tillmans,2016 / 1986,45525
576,clams casino,32 levels,24689862
577,elysia crampton,elysia crampton presents: demon city,351231
578,camp cope,camp cope,11072039
579,shackleton,devotional songs,74207
580,konx-om-pax,caramel,380353
581,fleetwood mac,tusk,134118463
582,the julie ruin,hit reset,1458078
584,mark barrott,sketches from an island 2,1129683
585,various artists,eleven into fifteen: a 130701 compilation,30933133
586,shura,nothings real,58212128
588,kel valhaal,new introductory lectures on the system of transcendental qabala,62529
589,jackmaster,dj-kicks,3224170
590,schoolboy q,blank face lp,398195060
591,darkstar,made to measure,940785
592,trust punks,double bind,49585
593,tangents,stateless,326601
596,martha,blisters in the pit of my heart,2899173
597,john roberts,plum,188137
598,maxwell,blacksummersnight,61826123
600,eric copeland,black bubblegum,254901
602,vivien goldman,resolutionary (songs 1979-1982),551539
604,araabmuzik,dream world,4654010
608,metronomy,summer 08,33659435
609,scharpling & wurster,live at third man records,36087
610,marisa anderson,into the light,783389
611,steven julien,fallen,300037
612,the avalanches,wildflower,77422421
613,nite-funk,nite-funk,461878
615,gojira,magma,95342853
616,aphex twin,cheetah,5449217
617,inter arma,paradise gallows,981776
618,the game,streets of compton,13263337
619,hot hot heat,hot hot heat,15275763
620,blink-182,california,456420709
621,magic!,primary colours,86609540
622,weaves,weaves,1978874
624,bat for lashes,the bride,11064297
625,mick harvey,delirium tremens,249683
626,alice bag,alice bag,98465
627,stephen steinbrink,anagrams,778886
628,pulp,different class,145826507
629,desiigner,new english,915818290
630,nice as fuck,nice as fuck,3879733
631,look mexico,uniola,784200
634,james ferraro,human story 3,254169
635,puro instinct,autodrama,410878
636,david toop,entities inertias faint beings,86377
637,blood orange,freetown sound,83606476
638,river tiber,indigo,11531792
640,lungfish,sound in time,164884
642,deerhoof,the magic,2672703
643,told slant,going by,5214573
644,amy klein,fire,14011
647,caveman,otero war,4391973
648,bjarki,b,266121
650,the avett brothers,true sadness,94391164
651,delorean,muzik,863866
652,yumi zouma,yoncalla,10010533
653,jay arner,jay ii,235712
654,neil young,tonight's the night,9109216
655,dj shadow,the mountain will fall,61992903
656,grace jones,warm leatherette,3895142
658,allen toussaint,american tunes,3767916
660,laura mvula,the dreaming room,14358668
662,saqqara mastabas,libras,2530
663,disclosure,moog for love,44411079
664,wye oak,tween,2835514
665,sui zhen,secretly susan,974465
666,the gotobeds,blood // sugar // secs // traffic,219895
667,mitski,puberty 2,44902333
668,bishop nehru,magic 19,640096
669,brigid mae power,brigid mae power,209696
670,rlyr,delayer,40354
671,swans,the glowing man,2220895
672,yg,still brazy,291859052
674,ro james,eldorado,84360906
675,red hot chili peppers,the getaway,629237934
676,palmistry,pagan,10738417
677,will butler,friday night,699953
678,vatican shadow,media in the service of terror,407557
679,weval,weval,12465949
680,george harrison,all things must pass,294177367
681,case/lang/veirs,case/lang/veirs,18047442
682,yung,a youthful dream,668997
684,nails,you will never be one of us,7696622
686,jake bugg,on my one,30276150
687,the fall,live at the witch trials,2163327
688,audion,alpha,241079
690,nick jonas,last year was complicated,653602794
691,nite jewel,liquid cool,1833636
692,"laraaji, sun araw",professional sunflow,39051
693,waxahatchee,early recordings,390729
694,dan lissvik,midnight,497575
695,mozzy,mandatory check,10612357
696,diarrhea planet,turn to gold,1246207
697,band of horses,why are you ok,43574463
698,the temper trap,thick as thieves,35621706
699,jackie lynn,jackie lynn,349183
700,nate wooley,argonautica,7426
701,air,twentyears,222712225
702,huerco s.,for those of you who have never (and also those who have),3541281
703,plaid,the digging remedy,6522058
704,holger czukay,movie!,1852256
705,sumac,what one becomes,1423208
706,kate bush,hounds of love,80068020
707,cornelius,fantasma,3309970
708,alexis taylor,piano,1194831
709,ladyhawke,wild things,8562877
710,fear of men,fall forever,3158614
711,garbage,strange little birds,9810880
712,speedy ortiz,foiled again,392484
713,floorplan,victorious ,3723655
714,margaret glaspy,emotions and math,14841062
715,vic mensa,theres alot going on ,137455414
716,paul simon,stranger to stranger,16036452
717,peter bjorn and john,breakin point,12570170
719,tegan and sara,love you to death,45857498
721,mourn,"ha, ha, he.",539255
722,xenia rubinos,black terry cat,4236779
724,the kills,ash & ice,56380497
725,lone,levitate,2205949
726,white zombie,it came from n.y.c.,3081985
727,whitney,light upon the lake,129658226
728,big thief,masterpiece,44819994
729,melvins,basses loaded,1466787
730,"moonface, siinai",my best human face,493474
733,steve gunn,eyes on the lines,3385340
734,the wailers,the wailing wailers,1172906
735,cough,still they pray,1410714
736,joey purp,iiidrops,30002717
737,fifth harmony,7/27,1647979128
739,seiho,collapse,818125
740,flume,skin,971947346
741,william tyler,modern country,7355184
742,die antwoord,suck on this,31739473
743,jank,awkward pop songs,6696356
744,mark kozelek,mark kozelek sings favorites,3461826
745,holy fuck,congrats,2192395
746,sepalcure,folding time,1090015
747,angry angles,angry angles,460463
748,kevin gates,murder for hire 2,78522033
749,beth orton,kidsticks,2555111
750,minor victories,minor victories,4023031
751,angel du$t,rock the fuck on forever,6107487
752,daniel romano,mosey,1451716
753,kristin kontrol,x-communicate,1529112
754,pup,the dream is over,39007460
755,olga bell,tempo,633053
756,rebolledo,mondo alterado,754891
757,autechre,elseq 1,496951
759,classixx,faraway reach,14336193
760,africans with mainframes,k.m.t.,13908
761,the hotelier,goodness,7426677
762,the underachievers,it happened in flatbush,18379403
763,allen ginsberg,the last word on first blues,114592
764,debo band,ere gobez,67885
765,wolf parade,ep 4,1482275
766,islands,should i remain here at sea?,1205872
767,various artists,wake up you!: the rise & fall of nigerian rock 1972-1977 vol. 2,465159
768,adult jazz,earrings off!,505641
769,ariana grande,dangerous woman,3332335725
770,gold panda,good luck and do your best,13293392
771,steve reich,four organs / phase patterns,36129
772,mock orange,put the kid on the sleepy horse,336008
773,david bowie,changesonebowie,703890246
774,dawn richard,infrared,954091
776,terry allen,juarez,531380
777,bob dylan,fallen angels,5495720
778,pantha du prince,the triad,3586651
779,rhys chatham,pythagorean dream,3646
780,eagulls,ullages,3343468
781,christian naujoks,wave,181995
782,marissa nadler,strangers,2660693
783,richard ashcroft,these people,17240476
784,adia victoria,beyond the bloodhounds,4701559
786,car seat headrest,teens of denial,71211097
788,head wound city,a new wave of violence,575143
789,tim heidecker,in glendale,1109639
790,various artists,day of the dead,60716771
791,mutual benefit,skip a sinking stone,7610496
792,torn hawk,union and return,94755
794,jessy lanza,oh no,5568438
795,nothing,tired of tomorrow,8594828
796,a giant dog,pile,4480303
797,shit robot,what follows,1097949
798,chance the rapper,coloring book,1706938963
799,summer cannibals,full of it ,1083769
800,jameszoo,fool,789989
801,pinkshinyultrablast,happy songs for happy zombies,467331
802,miles davis,the complete prestige 10-inch lp collection,12736156
803,modern baseball,holy ghost,31259274
804,kvelertak,nattesferd,9941848
805,arbor labor union,i hear you,109944
806,hooded fang,venus on edge,340795
808,skepta,konnichiwa,276631444
809,corinne bailey rae,the heart speaks in whispers,27024786
810,thomas cohen,bloom forever,504180
811,kaytranada,99.9%,331391813
812,mark pritchard,under the sun,10507920
813,twin peaks,down in heaven,18552399
814,bacao rhythm & steel band,55,7520441
815,death grips,bottomless pit,31621825
816,jean-michel jarre,electronica 2: the heart of noise,11055433
817,pita,get in,16957
818,seratones,get gone,1406612
819,radiohead,a moon shaped pool,234357256
821,gregory porter,take me to the alley,53197152
822,mary chapin carpenter,the things that we are made of,1588784
823,james blake,the colour in anything,125896165
824,little scream,cult following,2567601
825,homeboy sandman,kindness for weakness,1163070
826,fog,for good,44311
827,julianna barwick,will,12760123
829,meyhem lauren,piatto d'oro,2604889
830,chris cohen,as if apart,3462115
832,cluster,cluster 71,72422
834,britta phillips,luck or magic,1697838
835,mo troper,beloved,41692
836,white lung,paradise,5890331
838,vektor,terminal redux,3904522
840,anohni,hopelessness,23442600
841,pity sex,white hot moon,4389931
842,various artists,junjo presents: wins the world cup,6246956
843,hurry,guided meditation,272063
844,aesop rock,the impossible kid,53313955
846,king gizzard & the lizard wizard,nonagon infinity,28897809
847,operators,blue wave,3212009
848,katy b,honey,13957789
849,various artists,close to the noise floor - formative uk electronica 1975 - 1984,161955
850,holy ghost!,crime cutz,5775986
851,yoni & geti,testarossa,2559620
852,lush,gala,3565568
853,drake,views,5849090864
855,anna wise,the feminine: act i,5789137
857,prince,"sign ""o"" the times",46116955
858,prince,1999,73900804
862,prince,dirty mind,16697126
863,prince,controversy,15395309
865,wire,nocturnal koreans,666358
866,dej loaf,all jokes aside,7422136
868,horse lords,interventions,246633
869,brian eno,the ship,2090345
871,susanna,triangle,173884
872,audio push,the stone junction,1780153
874,a$ap ferg,always strive and prosper,234115595
875,cullen omori,new misery,3048955
877,andy stott,too many voices,3236400
878,etta james,at last!,295268264
879,ulver,bergtatt,2118601
880,kyle craft,dolls of highland,2390142
881,rogue wave,delusions of grand fur,4073529
882,john carpenter,lost themes ii,2062298
883,bill evans,some other time: the lost session from the black forest ,350442
884,"dj quik, problem",rosecrans,5423330
885,plants and animals,waltzed in from the rumbling,1450108
886,jay reatard,blood visions,12701600
888,primitive weapons,the future of death,213028
889,sorority noise,it kindly stopped for me,1239391
890,guided by voices,please be honest,530753
892,cellars,phases,405075
893,lawrence,yoyogi park,82506
894,j dilla,the diary,3306514
897,various artists,bis: 001-020,4630464
898,sturgill simpson,a sailor's guide to earth,97555501
900,dave harrington group,become alive ,109846
902,deakin,sleep cycle,1958235
904,bleached,welcome the worms ,6781772
905,mr. lif,don't look down,914663
906,tunji ige,missed calls,26208725
907,kevin morby,singing saw,20464214
910,cate le bon,crab day,2211376
912,pj harvey,the hope six demolition project,23012757
913,xiu xiu,plays the music of twin peaks,2145636
915,ben watt,fever dream,1247949
916,peder mannerfelt,controlling body,152522
917,metallica,kill 'em all,191148552
919,kweku collins,nat love,15468702
920,greys,outer heaven,380913
921,youth code,commitment to complications,1296271
922,deftones,gore,56732299
923,kaitlyn aurelia smith,ears,4698088
924,into it. over it.,standards,3494042
925,gallant,ology,112339816
926,dinner,psychic lovers,486068
927,m83,junk,87328399
928,dj rashad,afterlife,797011
929,frightened rabbit,painting of a panic attack,36190983
930,k. michelle,more issues than vogue,34476766
931,bombino,azel,3247976
932,parquet courts,human performance,29280352
933,mogwai,atomic,18648661
934,terrace martin,velvet portraits,6991782
935,tacocat,lost time,5151174
937,tim hecker,love streams,5431832
938,death grips,interview 2016,1380995
939,woods,city sun eater in the river of light,10738197
940,twenty88,twenty88,136631971
941,flying saucer attack,further,113911
942,grimes,halfaxa,22778853
943,ash koosha,i aka i,491073
944,andrew bird,are you serious,36768424
945,teen suicide,it's the big joyous celebration,5043493
947,dvsn,sept. 5th,216244163
948,yeasayer,amen & goodbye,13832717
949,the last shadow puppets,everything you've come to expect,175382135
950,autolux,pussy's dead,3715358
951,bob mould,patch the sky,2088617
952,the field,the follower,1042459
953,leon vynehall,rojus,6532308
954,pet shop boys,super,21832672
955,tombs,all empires fall,207767
957,frankie cosmos,next thing,57093648
958,eric bachmann,eric bachmann,613808
960,nisennenmondai,#n/a,72971
961,glenn jones,fleeting,708740
962,azealia banks,slay-z,21747456
963,charles bradley,changes,48331162
964,black mountain,iv,7081225
