artist,album,year,critic_score,user_score,comment
rafter,Animal Feelings,"Apr 13, 2010",69,tbd,
rafter,Sweaty Magic [EP],"Sep 9, 2008",71,tbd,
antonionian,,,,,artist not found!
vocabulary,,,,,artist not found!
obits,Bed & Bugs,"Sep 10, 2013",73,tbd,
obits,"Moody, Standard and Poor","Mar 29, 2011",74,tbd,
obits,I Blame You,"Mar 24, 2009",71,tbd,
chancha via circuito,,,,,artist not found!
erland & the carnival,,,,,artist not found!
alexander,Alexander,"Mar 1, 2011",70,8.4,
all tiny creatures,Harbors,"Mar 29, 2011",69,tbd,
orchestre poly rythmo de cotonou,,,,,artist not found!
capillary action,So Embarrassing,"Apr 9, 2008",77,tbd,
jessie j,Who You Are,"Apr 12, 2011",51,6.3,
derrick carter,,,,,artist not found!
primary 1,,,,,artist not found!
queen,DJ Hero (X360),"Oct 27, 2009",84,7.8,
queen,Guitar Hero: Smash Hits (PS3),"Jun 16, 2009",73,7.2,
queen,Guitar Hero: Smash Hits (X360),"Jun 16, 2009",71,6.2,
queen,Guitar Hero: Smash Hits (WII),"Jun 16, 2009",74,7.4,
queen,Guitar Hero: Smash Hits (PS2),"Jun 16, 2009",69,8.4,
hard mix,,,,,artist not found!
ed askew,For the World,"Sep 16, 2013",85,tbd,
heidecker & wood,,,,,artist not found!
baby dee,Regifted Light,"Mar 14, 2011",80,tbd,
leika,,,,,artist not found!
alex turner,Submarine (Original Songs from the Motion Picture),"May 31, 2011",74,8.6,
belong,Common Era,"Mar 22, 2011",69,tbd,
nick lowe,The  Old Magic,"Sep 13, 2011",75,7.6,
nick lowe,At My Age,"Jun 26, 2007",82,8.7,
nick lowe,The Convincer,"Sep 11, 2001",86,8.7,
metal mountains,,,,,artist not found!
"ramadanman, pearson sound",,,,,artist not found!
davila 666,Tan Bajo,"Mar 1, 2011",73,tbd,
the shoes,,,,,artist not found!
simon & garfunkel,,,,,artist not found!
vessels,Dilate,"Mar 3, 2015",77,8.0,
vessels,Helioscope,"Apr 12, 2011",70,tbd,
vessels,White Fields And Open Devices,"Aug 15, 2008",82,tbd,
adventure,Weird Work,"Apr 29, 2013",71,tbd,
adventure,Lesser Known,"Mar 22, 2011",61,tbd,
the eternals,Rawar Style,"May 18, 2004",70,tbd,
the psychic paramount,II,"Feb 22, 2011",79,tbd,
hype williams,Rainbow Edition,"Aug 25, 2017",61,tbd,
hype williams,Black is Beautiful,"Apr 17, 2012",68,8.2,
hype williams,One Nation,"Mar 14, 2011",70,tbd,
wolf + lamb vs. soul clap,,,,,artist not found!
gary higgins,A Dream a While Back,"Mar 22, 2011",68,tbd,
gary higgins,Seconds,"Sep 29, 2009",60,tbd,
sin fang,Flowers,"Feb 19, 2013",72,tbd,
james brown,Still Alice,"Dec 5, 2014",72,7.9,
james brown,Soul Power,"Jul 10, 2009",76,9.0,
james brown,Glastonbury,"Feb 23, 2007",60,8.4,
james brown,When We Were Kings,"Oct 25, 1996",83,8.9,
