artist,album,year,critic_score,user_score,comment
editors,Violence,"Mar 9, 2018",72,7.4,
editors,In Dream,"Oct 2, 2015",66,7.2,
editors,The Weight of Your Love,"Jul 9, 2013",55,6.8,
editors,In This Light & On This Evening,"Jan 19, 2010",59,6.9,
editors,An End Has A Start,"Jul 17, 2007",65,7.9,
editors,The Back Room,"Mar 21, 2006",76,8.4,
the rakes,Klang,"Mar 23, 2009",65,7.8,
the rakes,Ten New Messages,"Mar 19, 2007",64,7.5,
the rakes,Capture / Release,"Apr 25, 2006",75,8.5,
clipse,Til The Casket Drops,"Dec 8, 2009",64,8.1,
clipse,Hell Hath No Fury,"Nov 28, 2006",89,8.3,
baaba maal,The Traveller,"Jan 15, 2016",68,tbd,
baaba maal,Television,"Aug 25, 2009",73,tbd,
lowell brams,,,,,artist not found!
sea wolf,Old World Romance,"Sep 11, 2012",67,tbd,
sea wolf,"White Water, White Bloom","Sep 22, 2009",67,tbd,
dappled cities,,,,,artist not found!
arms,Kids Aflame,"Oct 27, 2009",74,tbd,
peverelist,,,,,artist not found!
m.a.n.d.y.,,,,,artist not found!
electrik red,,,,,artist not found!
lifter puller,,,,,artist not found!
oh no,You Disgust Me,"Aug 7, 2015",70,tbd,
oh no,"Disrupted Ads (Audio Dispensary System), Vol. 1","Jan 29, 2013",tbd,tbd,
oh no,Ohnomite,"Jun 5, 2012",81,8.0,
oh no,Dr. No's Ethiopium,"Nov 24, 2009",84,tbd,
luciano,,,,,artist not found!
pyramids with nadja,,,,,artist not found!
felt,Felt 3: A Tribute To Rosie Perez,"Nov 17, 2009",79,8.0,
gusgus,Mexico,"Jun 24, 2014",68,7.7,
princeton,Remembrance of Things To Come,"Nov 30, 2011",52,tbd,
rakim,The Seventh Seal,"Nov 17, 2009",59,6.1,
jookabox,Dead Zone Boys,"Nov 3, 2009",67,tbd,
jookabox,Ropechain,"Nov 4, 2008",70,tbd,
early day miners,The Treatment,"Sep 22, 2009",72,tbd,
early day miners,All Harm Ends Here,"Jan 18, 2005",67,tbd,
kraftwerk,Minimum-Maximum [Live],"Jun 7, 2005",86,8.6,
kraftwerk,Tour de France Soundtracks,"Aug 19, 2003",73,8.4,
blakroc,Blakroc,"Nov 27, 2009",72,8.7,
lackthereof,,,,,artist not found!
edan,Echo Party,"Nov 23, 2009",71,tbd,
edan,Beauty And The Beat,"Mar 29, 2005",85,8.7,
charlotte hatherley,,,,,artist not found!
jay farrar & benjamin gibbard,,,,,artist not found!
the bravery,Stir The Blood,"Dec 1, 2009",57,7.9,
the bravery,The Sun And The Moon,"May 22, 2007",62,8.3,
the bravery,The Bravery,"Mar 29, 2005",66,7.2,
jahdan blakkamoore,Reincarnated,"Mar 15, 2013",42,3.8,
