artist,album,year,critic_score,user_score,comment
dutch uncles,Big Balloon,"Feb 17, 2017",77,7.3,
dutch uncles,O Shudder,"Feb 24, 2015",77,7.3,
dutch uncles,"Out of Touch, In the Wild","Apr 2, 2013",74,7.0,
dutch uncles,Cadenza,"Apr 25, 2011",67,tbd,
an autumn for crippled children,,,,,artist not found!
future brown,Future Brown,"Feb 24, 2015",69,7.1,
gang of four,Happy Now,"Apr 19, 2019",67,tbd,
gang of four,What Happens Next,"Feb 24, 2015",60,6.0,
gang of four,Content,"Jan 25, 2011",71,6.2,
gang of four,Return The Gift,"Oct 11, 2005",72,7.9,
pelican,Nighttime Stories,"Jun 7, 2019",82,7.5,
pelican,Forever Becoming,"Oct 15, 2013",74,7.8,
pelican,Ataraxia/Taraxis [EP],"Apr 10, 2012",74,tbd,
pelican,What We All Come To Need,"Oct 27, 2009",79,8.2,
the pop group,Honeymoon on Mars,"Oct 28, 2016",64,5.6,
the pop group,Citizen Zombie,"Feb 24, 2015",74,7.1,
big sean,Double Or Nothing,"Dec 8, 2017",54,5.1,
big sean,I Decided.,"Feb 3, 2017",67,7.0,
big sean,Dark Sky Paradise,"Feb 24, 2015",72,7.2,
big sean,Hall of Fame,"Aug 27, 2013",72,6.2,
big sean,Finally Famous,"Jun 28, 2011",69,6.2,
"black twig pickers, steve gunn",,,,,artist not found!
theesatisfaction,EarthEE,"Feb 24, 2015",79,7.5,
theesatisfaction,awE naturalE,"Mar 27, 2012",75,7.8,
tica douglas,,,,,artist not found!
steve earle & the dukes,,,,,artist not found!
iron & wine,,,,,artist not found!
eternal tapestry,Wild Strawberries,"Feb 24, 2015",70,tbd,
eternal tapestry,A  World Out of Time,"Nov 13, 2012",70,tbd,
eternal tapestry,Night Gallery,"Jul 19, 2011",72,tbd,
eternal tapestry,Beyond the 4th Door,"Mar 15, 2011",75,tbd,
diet cig,Swear I'm Good at This,"Apr 7, 2017",79,6.7,
colleen green,I Want to Grow Up,"Feb 24, 2015",72,8.0,
colleen green,Sock It to Me,"Mar 19, 2013",62,tbd,
dan deacon,Rat Film [Original Motion Picture Soundtrack],"Oct 13, 2017",61,tbd,
dan deacon,Gliss Riffer,"Feb 24, 2015",77,7.6,
dan deacon,America,"Aug 28, 2012",82,8.3,
dan deacon,Bromst,"Mar 24, 2009",77,8.8,
torche,Admission,"Jul 12, 2019",80,6.6,
torche,Restarter,"Feb 24, 2015",79,6.5,
torche,Harmonicraft,"Apr 24, 2012",83,8.3,
torche,Songs for Singles,"Sep 21, 2010",75,8.0,
screaming females,All at Once,"Feb 23, 2018",86,7.8,
screaming females,Rose Mountain,"Feb 24, 2015",77,7.6,
screaming females,Ugly,"Apr 3, 2012",83,8.2,
screaming females,Castle Talk,"Sep 14, 2010",79,tbd,
ibeyi,Ash,"Sep 29, 2017",78,8.1,
ibeyi,Ibeyi,"Feb 17, 2015",78,8.3,
the king khan & bbq show,,,,,artist not found!
the juliana hatfield three,,,,,artist not found!
twin river,,,,,artist not found!
tropics,Rapture,"Feb 17, 2015",68,tbd,
tropics,Parodia Flare,"Sep 27, 2011",75,tbd,
the wave pictures,Brushes With Happiness,"Jun 29, 2018",64,tbd,
the wave pictures,Bamboo Diner in the Rain,"Nov 18, 2016",78,tbd,
the wave pictures,A  Season in Hull,"Mar 4, 2016",75,tbd,
the wave pictures,Great Big Flamingo Burning Moon,"Feb 16, 2015",74,tbd,
the wave pictures,City Forgiveness,"Oct 21, 2013",72,tbd,
the wave pictures,Long Black Cars,"Apr 17, 2012",68,tbd,
the wave pictures,Beer In The Breakers,"May 2, 2011",65,tbd,
phosphorescent,C'est La Vie,"Oct 5, 2018",80,7.4,
phosphorescent,Live at the Music Hall,"Feb 17, 2015",76,tbd,
phosphorescent,Muchacho,"Mar 19, 2013",85,8.1,
phosphorescent,Here's To Taking It Easy,"May 11, 2010",78,tbd,
phosphorescent,To Willie,"Feb 3, 2009",78,tbd,
kate pierson,Guitars and Microphones,"Feb 17, 2015",63,tbd,
dj sotofett,,,,,artist not found!
pika,,,,,artist not found!
jos gonzlez,,,,,artist not found!
krill,A Distant Fist Unclenching,"Feb 24, 2015",75,7.5,
felix k,,,,,artist not found!
carter tutti,Carter Tutti Plays Chris & Cosey,"Mar 3, 2015",76,tbd,
grooms,Comb the Feelings Through Your Hair,"Feb 17, 2015",76,tbd,
grooms,Prom,"Jul 12, 2011",70,tbd,
grooms,Rejoicer,"Oct 13, 2009",75,tbd,
the staple singers,Wattstax (re-released),"Jun 6, 2003",81,6.6,
damon & naomi,,,,,artist not found!
"ghostface killah, badbadnotgood",,,,,artist not found!
joker,The Mainframe,"Feb 16, 2015",59,tbd,
joker,The Vision,"Nov 8, 2011",58,tbd,
s. carey,Hundred Acres,"Feb 23, 2018",68,7.0,
s. carey,Supermoon [EP],"Feb 17, 2015",60,tbd,
s. carey,Range of Light,"Apr 1, 2014",69,8.8,
s. carey,Hoyas [EP],"May 8, 2012",59,tbd,
s. carey,All We Grow,"Aug 24, 2010",73,7.4,
beat spacek,Modern Streets,"Jan 26, 2015",77,tbd,
hundred waters,Communicating,"Sep 14, 2017",75,7.5,
hundred waters,The Moon Rang Like a Bell,"May 27, 2014",79,8.3,
hundred waters,Hundred Waters,"Oct 16, 2012",71,7.6,
anthony naples,Body Pill,"Feb 17, 2015",78,tbd,
a place to bury strangers,Pinned,"Apr 13, 2018",68,7.3,
a place to bury strangers,Transfixiation,"Feb 17, 2015",65,6.7,
a place to bury strangers,Worship,"Jun 26, 2012",69,7.5,
a place to bury strangers,Onwards to the Wall [EP],"Feb 7, 2012",75,6.3,
a place to bury strangers,Exploding Head,"Oct 6, 2009",79,8.5,
a place to bury strangers,A Place To Bury Strangers,"Aug 7, 2007",80,8.7,
sir richard bishop,"Warhammer 40,000: Dawn of War II (PC)","Feb 18, 2009",85,8.1,
sir richard bishop,Rise & Fall: Civilizations at War (PC),"Jun 12, 2006",64,8.8,
sir richard bishop,Empire Earth (PC),"Nov 12, 2001",81,8.3,
the supreme jubilees,,,,,artist not found!
sonny and the sunsets,,,,,artist not found!
title fight,Hyperview,"Feb 3, 2015",71,8.2,
title fight,Floral Green,"Sep 17, 2012",84,8.9,
title fight,Shed,"May 6, 2011",81,8.8,
pond,Tasmania,"Mar 1, 2019",77,8.0,
pond,The Weather,"May 5, 2017",80,8.0,
pond,Man It Feels Like Space Again,"Jan 26, 2015",78,8.3,
pond,Hobo Rocket,"Aug 6, 2013",71,8.2,
pond,"Beard, Wives, Denim","Mar 6, 2012",77,8.8,
big noble,,,,,artist not found!
emmy the great,Second Love,"Mar 11, 2016",77,8.7,
emmy the great,S [EP],"Jan 27, 2015",68,tbd,
emmy the great,This Is Christmas,"Nov 21, 2011",65,tbd,
emmy the great,First Love,"Feb 9, 2009",74,tbd,
ne yo,Non-Fiction,"Jan 27, 2015",60,6.5,
ne yo,R.E.D.,"Nov 6, 2012",68,5.5,
ne yo,Libra Scale,"Nov 22, 2010",73,6.5,
ne yo,Year Of The Gentleman,"Sep 16, 2008",79,8.7,
ne yo,Because Of You,"May 1, 2007",74,6.5,
ne yo,In My Own Words,"Feb 28, 2006",69,8.4,
quarterbacks,Quarterbacks,"Feb 10, 2015",75,tbd,
sherwood & pinch,,,,,artist not found!
mikky ekko,Time,"Jan 20, 2015",59,7.7,
father john misty,God's Favorite Customer,"Jun 1, 2018",83,8.0,
father john misty,Pure Comedy,"Apr 7, 2017",85,7.9,
father john misty,"I Love You, Honeybear","Feb 10, 2015",87,8.6,
father john misty,Fear Fun,"May 1, 2012",83,8.3,
ex cult,,,,,artist not found!
rone,Creatures,"Feb 10, 2015",69,7.6,
endless bummer,,,,,artist not found!
jeff bridges,Bad Times at the El Royale,"Oct 12, 2018",60,7.1,
jeff bridges,Living in the Future's Past,"Oct 5, 2018",tbd,tbd,
jeff bridges,Hal,"Sep 7, 2018",72,tbd,
jeff bridges,Only the Brave,"Oct 20, 2017",72,7.4,
jeff bridges,Kingsman: The Golden Circle,"Sep 22, 2017",44,6.5,
jeff bridges,The Only Living Boy in New York,"Aug 11, 2017",33,5.3,
jeff bridges,Dream Big: Engineering Our World,"Feb 17, 2017",tbd,tbd,
jeff bridges,Hell or High Water,"Aug 12, 2016",88,8.1,
jeff bridges,The Little Prince,"Aug 5, 2016",70,7.6,
jeff bridges,Seventh Son,"Feb 6, 2015",30,tbd,
jeff bridges,The Giver,"Aug 15, 2014",47,tbd,
jeff bridges,Casting By,"Jul 26, 2013",70,8.6,
jeff bridges,R.I.P.D.,"Jul 19, 2013",25,4.1,
jeff bridges,A Place at the Table,"Mar 1, 2013",68,tbd,
jeff bridges,True Grit,"Dec 22, 2010",80,tbd,
jeff bridges,TRON: Legacy,"Dec 17, 2010",49,7.1,
jeff bridges,Crazy Heart,"Dec 16, 2009",83,tbd,
jeff bridges,The Men Who Stare at Goats,"Nov 6, 2009",54,6.4,
jeff bridges,The Open Road,"Aug 28, 2009",47,7.9,
jeff bridges,Iron Man,"May 2, 2008",79,8.5,
jeff bridges,The Cool School,"Mar 28, 2008",68,tbd,
jeff bridges,The Amateurs,"Dec 7, 2007",45,7.7,
jeff bridges,Surf's Up,"Jun 8, 2007",64,8.5,
