artist,album,year,critic_score,user_score,comment
art department,Natural Selection,"Nov 17, 2014",72,tbd,
art department,Social Experiment 003,"Feb 19, 2013",78,tbd,
art department,The Drawing Board,"Apr 25, 2011",85,tbd,
kate nash,Yesterday Was Forever,"Mar 30, 2018",63,7.3,
kate nash,Girl Talk,"Mar 5, 2013",63,7.2,
kate nash,My Best Friend Is You,"Apr 20, 2010",69,6.6,
kate nash,Made of Bricks,"Jan 8, 2008",71,6.8,
how to destroy angels_,,,,,artist not found!
suuns,Felt,"Mar 2, 2018",70,7.4,
suuns,Hold/Still,"Apr 15, 2016",67,7.7,
suuns,Suuns & Jerusalem in My Heart,"Apr 14, 2015",72,tbd,
suuns,Images du Futur,"Mar 5, 2013",76,8.0,
suuns,Zeroes QC,"Oct 12, 2010",70,tbd,
defeated sanity,,,,,artist not found!
rhye,Spirit,"May 10, 2019",67,tbd,
rhye,Blood,"Feb 2, 2018",71,6.9,
rhye,Woman,"Mar 5, 2013",79,8.4,
josh ritter,Fever Breaks,"Apr 26, 2019",75,5.4,
josh ritter,Gathering,"Sep 22, 2017",88,6.6,
josh ritter,Sermon on the Rocks,"Oct 16, 2015",79,7.8,
josh ritter,The Beast in Its Tracks,"Mar 5, 2013",78,7.9,
josh ritter,So Runs The World Away,"May 4, 2010",81,8.1,
josh ritter,The Historical Conquests of Josh Ritter,"Aug 21, 2007",79,8.8,
josh ritter,The Animal Years,"Apr 11, 2006",80,8.8,
javelin,Hi Beams,"Mar 5, 2013",67,tbd,
javelin,No Mas,"Apr 6, 2010",76,tbd,
blue hawaii,Tenderness,"Oct 6, 2017",78,8.0,
blue hawaii,Untogether,"Mar 5, 2013",69,7.2,
horna,,,,,artist not found!
chelsea light moving,Chelsea Light Moving,"Mar 5, 2013",76,7.7,
sally shapiro,Somewhere Else,"Feb 26, 2013",68,tbd,
sally shapiro,Casablanca Nights,"May 10, 2011",70,tbd,
sally shapiro,My Guilty Pleasure,"Aug 25, 2009",61,tbd,
cyclopean,,,,,artist not found!
"lloyd cole, hans joachim roedelius",,,,,artist not found!
voigt & voigt,,,,,artist not found!
pvt,New Spirit,"Feb 17, 2017",75,tbd,
pvt,Homosapien,"Feb 12, 2013",71,tbd,
pvt,Church with No Magic,"Aug 10, 2010",73,tbd,
parenthetical girls,Privilege,"Feb 19, 2013",73,tbd,
parenthetical girls,Entanglements,"Sep 9, 2008",68,tbd,
kavinsky,Outrun,"Feb 26, 2013",75,8.4,
the mississippi sheiks,,,,,artist not found!
vietnam,An A.merican D.ream,"Mar 5, 2013",60,tbd,
benjamin damage,Heliosphere,"Mar 5, 2013",56,tbd,
benjamin damage,They!Live,"Feb 14, 2012",68,tbd,
shout out louds,Ease My Mind,"Sep 22, 2017",69,tbd,
shout out louds,Optica,"Feb 26, 2013",69,8.0,
shout out louds,Work,"Feb 23, 2010",68,7.6,
shout out louds,Our Ill Wills,"Sep 11, 2007",72,8.4,
atoms for peace,Amok,"Feb 26, 2013",76,8.3,
black twig pickers,,,,,artist not found!
portal,Vexovoid,"Feb 19, 2013",76,tbd,
waka flocka flame,"Triple F Life: Friends, Fans and Family","Jun 12, 2012",66,5.1,
waka flocka flame,Ferrari Boyz,"Aug 9, 2011",57,6.3,
waka flocka flame,Flockaveli,"Oct 5, 2010",75,7.0,
maxmillion dunbar,House of Woo,"Feb 18, 2013",79,tbd,
the howling hex,Wilson Semiconductors [EP],"Dec 6, 2011",55,tbd,
"bonnie prince billy, dawn mccarthy",,,,,artist not found!
eat skull,III,"Feb 19, 2013",68,tbd,
feeding people,Island Universe,"Feb 5, 2013",59,tbd,
inc.,,,,,artist not found!
psychic ills,Inner Journey Out,"Jun 3, 2016",70,tbd,
psychic ills,One Track Mind,"Feb 19, 2013",70,tbd,
psychic ills,Hazed Dream,"Oct 10, 2011",67,tbd,
psychic ills,Mirror Eye,"Jan 20, 2009",61,tbd,
dur dur band,,,,,artist not found!
beach fossils,Somersault,"Jun 2, 2017",81,7.8,
beach fossils,Clash the Truth,"Feb 19, 2013",68,8.3,
beach fossils,What a Pleasure,"Mar 1, 2011",66,8.2,
beach fossils,Beach Fossils,"Jul 27, 2010",73,8.0,
endless boogie,Long Island,"Feb 19, 2013",79,tbd,
strfkr,Miracle Mile,"Feb 19, 2013",67,8.1,
qluster,Echtzeit,"Mar 4, 2016",74,tbd,
companion,,,,,artist not found!
darwin deez,10 Songs That Happened When You Left Me With My Stupid Heart,"Aug 31, 2018",67,tbd,
darwin deez,Double Down,"Sep 18, 2015",64,tbd,
darwin deez,Songs for Imaginative People,"Feb 19, 2013",67,tbd,
darwin deez,Darwin Deez,"May 24, 2011",67,7.9,
paul banks,Banks,"Oct 22, 2012",65,7.6,
salva,,,,,artist not found!
spectral park,,,,,artist not found!
applescal,,,,,artist not found!
lisa germano,No Elephants,"Feb 12, 2013",68,tbd,
lisa germano,Familial,"Aug 31, 2010",66,7.0,
lisa germano,In The Maybe World,"Jul 18, 2006",61,8.7,
lisa germano,Lullaby For Liquid Pig,"Apr 15, 2003",76,8.8,
lady lazarus,All My Love In Half Light,"Jan 29, 2013",74,tbd,
lady lazarus,Mantic,"Jan 18, 2011",tbd,tbd,
the spinto band,Shy Pursuit,"Nov 30, 2011",71,tbd,
veronica falls,Waiting for Something to Happen,"Feb 12, 2013",71,8.0,
veronica falls,Veronica Falls,"Sep 20, 2011",71,7.5,
clogs,The Creatures In The Garden Of Lady Walton,"Mar 2, 2010",75,8.3,
clogs,Lantern,"Feb 7, 2006",76,8.4,
umberto,Confrontations,"Feb 5, 2013",66,tbd,
umberto,The Night Has a Thousand Screams,"Oct 29, 2012",75,tbd,
ulrich schnauss,No Further Ahead Than Today,"Nov 4, 2016",69,tbd,
ulrich schnauss,A Long Way to Fall,"Feb 12, 2013",64,8.6,
ulrich schnauss,Underrated Silence,"Feb 14, 2012",68,tbd,
ulrich schnauss,Goodbye,"Jul 10, 2007",64,8.6,
jos james,Love in a Time of Madness,"Feb 24, 2017",73,tbd,
jos james,While You Were Sleeping,"Jun 10, 2014",78,tbd,
jos james,No Beginning No End,"Jan 22, 2013",79,8.3,
k x p,"K-X-P III, Pt. 2","Mar 18, 2016",76,tbd,
k x p,II,"Feb 11, 2013",75,tbd,
cult of luna,Vertikal,"Jan 29, 2013",85,7.9,
hayden,Us Alone,"Feb 5, 2013",75,tbd,
