artist,album,year,critic_score,user_score,comment
monster rally,,,,,artist not found!
"steve reich, terry riley",,,,,artist not found!
justice,"Audio, Video, Disco","Oct 24, 2011",69,7.8,
justice,A Cross The Universe,"Dec 9, 2008",76,8.5,
justice,Cross,"Jul 10, 2007",81,8.9,
demdike stare,Wonderland,"Dec 2, 2016",81,tbd,
demdike stare,Elemental,"Mar 13, 2012",85,tbd,
demdike stare,Tryptych,"Jan 31, 2011",83,6.7,
bully fae,,,,,artist not found!
rainbow arabia,F.M. Sushi,"Apr 16, 2013",61,tbd,
rainbow arabia,Boys and Diamonds,"Mar 1, 2011",61,tbd,
kate bush,Before the Dawn [Live],"Dec 2, 2016",84,8.4,
kate bush,50 Words for Snow,"Nov 21, 2011",85,8.5,
kate bush,Director's Cut,"May 31, 2011",80,8.2,
kate bush,Aerial,"Nov 8, 2005",81,8.9,
e 40,"The Block Brochure: Welcome to the Soil, Pt. 1","Mar 26, 2012",78,6.5,
e 40,"The Block Brochure: Welcome to the Soil, Pt. 2","Mar 26, 2012",68,6.3,
e 40,"The Block Brochure: Welcome to the Soil, Pt. 3","Mar 26, 2012",76,6.5,
e 40,Revenue Retrievin': Day Shift,"Mar 30, 2010",77,6.9,
meredith monk,Feminists: What Were They Thinking?,"Oct 12, 2018",tbd,tbd,
pavo pavo,Mystery Hour,"Jan 25, 2019",75,5.4,
pavo pavo,Young Narrator in the Breakers,"Nov 11, 2016",71,tbd,
via app,,,,,artist not found!
ice cube,Fist Fight,"Feb 17, 2017",37,5.2,
ice cube,xXx: Return of Xander Cage,"Jan 20, 2017",42,4.8,
ice cube,Barbershop: The Next Cut,"Apr 15, 2016",67,5.6,
ice cube,Ride Along 2,"Jan 15, 2016",32,tbd,
ice cube,Straight Outta Compton,"Aug 14, 2015",72,7.6,
ice cube,The Book of Life,"Oct 17, 2014",67,7.3,
ice cube,22 Jump Street,"Jun 13, 2014",71,8.0,
ice cube,Ride Along,"Jan 17, 2014",41,5.6,
ice cube,Something from Nothing: The Art of Rap,"Jun 15, 2012",66,tbd,
ice cube,21 Jump Street,"Mar 16, 2012",69,8.0,
ice cube,Rampart,"Feb 10, 2012",70,6.0,
ice cube,Lottery Ticket,"Aug 20, 2010",50,tbd,
ice cube,The Janky Promoters,"Jul 31, 2009",tbd,tbd,
ice cube,The Longshots,"Aug 22, 2008",52,tbd,
ice cube,First Sunday,"Jan 11, 2008",41,6.1,
ice cube,Are We Done Yet?,"Apr 4, 2007",36,3.9,
ice cube,xXx: State of the Union,"Apr 29, 2005",37,6.2,
ice cube,Beauty Shop,"Mar 30, 2005",53,5.9,
ice cube,Are We There Yet?,"Jan 21, 2005",27,4.1,
ice cube,Barbershop 2: Back in Business,"Feb 6, 2004",59,5.8,
ice cube,Torque,"Jan 16, 2004",41,8.4,
ice cube,Friday After Next,"Nov 22, 2002",35,tbd,
ice cube,Barbershop,"Sep 13, 2002",66,7.0,
ice cube,All About the Benjamins,"Mar 8, 2002",34,tbd,
ice cube,Ghosts of Mars,"Aug 24, 2001",35,5.0,
ice cube,Next Friday,"Jan 12, 2000",41,6.2,
ice cube,Three Kings,"Oct 1, 1999",82,8.8,
ice cube,Anaconda,"Apr 11, 1997",37,6.0,
ice cube,Friday,"Apr 26, 1995",54,7.5,
ice cube,Higher Learning,"Jan 11, 1995",54,7.4,
dawn richard,New Breed,"Jan 25, 2019",81,8.3,
dawn richard,Redemption,"Nov 18, 2016",77,8.3,
dawn richard,Blackheart,"Jan 15, 2015",85,8.6,
dawn richard,Goldenheart,"Jan 22, 2013",81,8.1,
"oneida, rhys chatham",,,,,artist not found!
sarah davachi,Pale Bloom,"Jun 21, 2019",79,tbd,
sarah davachi,Gave in Rest,"Sep 14, 2018",85,tbd,
vicky chow,,,,,artist not found!
"gucci mane, future",,,,,artist not found!
gillian welch,Boots No 1: The Official Revival Bootleg,"Nov 25, 2016",79,tbd,
gillian welch,The  Harrow and the Harvest,"Jun 28, 2011",85,7.7,
gillian welch,Soul Journey,"Jun 3, 2003",78,8.3,
