artist,album,year,critic_score,user_score,comment
brightblack morning light,Motion To Rejoin,"Sep 23, 2008",69,8.7,
brightblack morning light,Brightblack Morning Light,"Jun 20, 2006",73,7.4,
sam champion,Heavenly Bender,"Sep 9, 2008",60,tbd,
suarasama,,,,,artist not found!
amanda palmer,There Will Be No Intermission,"Mar 8, 2019",78,8.1,
amanda palmer,I Can Spin a Rainbow,"May 5, 2017",60,6.4,
amanda palmer,You Got Me Singing,"Jul 15, 2016",72,tbd,
amanda palmer,Amanda Palmer Goes Down Under,"Feb 1, 2011",74,tbd,
amanda palmer,Who Killed Amanda Palmer,"Sep 16, 2008",78,8.8,
bound stems,The Family Afloat,"Sep 9, 2008",81,8.6,
james,Living in Extraordinary Times,"Aug 3, 2018",75,7.4,
james,Girl at the End of the World,"Mar 18, 2016",69,7.4,
james,La  Petite Mort,"Sep 16, 2014",67,6.9,
james,The Morning After,"Sep 14, 2010",76,tbd,
james,Hey Ma,"Sep 16, 2008",73,7.9,
james,Getting Away With It... Live,"Jun 11, 2002",54,7.3,
james,Pleased To Meet You,"Jul 2, 2001",65,7.2,
john adams,Amped 3 (X360),"Nov 16, 2005",72,7.1,
john adams,Sid Meier's Civilization IV (PC),"Oct 25, 2005",94,8.3,
john adams,Real War: Rogue States (PC),"Oct 1, 2002",54,7.4,
john adams,Amped: Freestyle Snowboarding (XBOX),"Nov 19, 2001",78,8.3,
the airborne toxic event,Such Hot Blood,"Apr 30, 2013",64,8.2,
the airborne toxic event,All At Once,"Apr 26, 2011",59,7.3,
the airborne toxic event,The Airborne Toxic Event,"Aug 5, 2008",66,7.6,
elzhi,,,,,artist not found!
emilana torrini,,,,,artist not found!
original silence,,,,,artist not found!
the rumble strips,Welcome To The Walk Alone,"Jul 13, 2009",69,tbd,
the rumble strips,Girls And Weather,"Aug 5, 2008",72,tbd,
alexander tucker,Guild of the Asbestos Weaver,"Aug 23, 2019",74,tbd,
alexander tucker,Don't Look Away,"Aug 24, 2018",84,tbd,
alexander tucker,Third Mouth,"Apr 10, 2012",78,tbd,
rex the dog,Rex The Dog Show,"Sep 8, 2008",65,tbd,
mugison,Mugiboogie,"Aug 19, 2008",66,tbd,
cats in paris,Courtcase 2000,"Aug 25, 2008",63,7.8,
ilya monosov,,,,,artist not found!
