artist,album,year,critic_score,user_score,comment
gatecreeper,,,,,artist not found!
candiria,,,,,artist not found!
janet jackson,Unbreakable,"Oct 2, 2015",75,8.3,
janet jackson,Discipline,"Feb 26, 2008",61,7.7,
janet jackson,20 Y.O.,"Sep 26, 2006",52,6.9,
janet jackson,Damita Jo,"Mar 30, 2004",53,7.4,
janet jackson,All For You,"Apr 24, 2001",73,8.5,
oasis,Be Here Now [Deluxe Edition - Remastered],"Oct 14, 2016",57,6.9,
oasis,(What's the Story) Morning Glory? [Deluxe Edition - Remastered],"Sep 30, 2014",81,8.3,
oasis,Definitely Maybe [Remastered],"May 19, 2014",95,8.5,
oasis,Time Flies... 1994-2009,"Jun 15, 2010",76,7.8,
oasis,Dig Out Your Soul,"Oct 7, 2008",66,8.3,
oasis,Don't Believe The Truth,"May 31, 2005",64,7.8,
oasis,Heathen Chemistry,"Jul 2, 2002",55,7.1,
oasis,Familiar To Millions,"Nov 21, 2000",60,7.7,
helado negro,This Is How You Smile,"Mar 8, 2019",81,7.6,
helado negro,Invisible Life,"Mar 5, 2013",77,tbd,
helado negro,Canta Lechuza,"May 9, 2011",77,tbd,
dj mustard,10 Summers,"Aug 25, 2014",74,5.7,
opeth,In Cauda Venenum,"Sep 27, 2019",85,8.6,
opeth,Sorceress,"Sep 30, 2016",81,7.7,
opeth,Pale Communion,"Aug 26, 2014",75,7.8,
opeth,Heritage,"Sep 20, 2011",71,7.7,
opeth,Watershed,"Jun 3, 2008",82,8.8,
moses sumney,Aromanticism,"Sep 22, 2017",85,8.2,
phish,Big Boat,"Oct 7, 2016",68,tbd,
phish,Fuego,"Jun 24, 2014",71,tbd,
phish,Joy,"Sep 8, 2009",65,8.2,
phish,Undermind,"Jun 15, 2004",70,5.7,
phantogram,Three,"Oct 7, 2016",64,7.6,
phantogram,Voices,"Feb 18, 2014",74,8.4,
phantogram,Nightlife,"Oct 25, 2011",69,8.4,
phantogram,Eyelid Movies,"Feb 9, 2010",76,8.6,
the caretaker,Patience (After Sebald),"Feb 14, 2012",81,8.0,
the caretaker,An Empty Bliss Beyond This World,"Jun 21, 2011",82,8.6,
pixies,Beneath the Eyrie,"Sep 13, 2019",69,8.0,
pixies,Head Carrier,"Sep 30, 2016",64,7.2,
pixies,Doolittle 25,"Dec 2, 2014",100,8.6,
pixies,Indie Cindy,"Apr 29, 2014",62,6.7,
pixies,EP2,"Jan 13, 2014",54,6.6,
pixies,EP-1,"Sep 3, 2013",45,6.6,
francis and the lights,,,,,artist not found!
neurosis,Fires Within Fires,"Sep 23, 2016",85,7.3,
neurosis,Honor Found In Decay,"Oct 30, 2012",81,7.9,
yves tumor,Safe In The Hands Of Love,"Sep 5, 2018",89,7.8,
yves tumor,Serpent Music,"Sep 30, 2016",77,6.6,
solange,When I Get Home,"Mar 1, 2019",89,7.5,
solange,A Seat at the Table,"Sep 30, 2016",89,8.4,
solange,True [EP],"Jan 8, 2013",79,8.7,
solange,Sol-Angel And The Hadley St. Dreams,"Aug 26, 2008",72,8.9,
balance and composure,,,,,artist not found!
supersilent,13,"Sep 30, 2016",73,tbd,
bruce haack,,,,,artist not found!
jenny hval,The Practice of Love,"Sep 13, 2019",84,8.1,
jenny hval,The Long Sleep [EP],"May 25, 2018",80,7.8,
jenny hval,Blood Bitch,"Sep 30, 2016",84,7.9,
jenny hval,"Apocalypse, Girl","Jun 9, 2015",79,8.3,
jenny hval,Innocence is Kinky,"May 14, 2013",87,8.5,
jack rose,Luck In The Valley,"Feb 23, 2010",83,5.7,
lusa maita,,,,,artist not found!
oathbreaker,Rheia,"Sep 30, 2016",76,tbd,
aaron abernathy,,,,,artist not found!
danny brown,Atrocity Exhibition,"Sep 27, 2016",85,8.7,
danny brown,Old,"Oct 8, 2013",83,8.4,
danny brown,Black and Brown!,"Nov 7, 2011",71,8.3,
danny brown,XXX,"Aug 15, 2011",83,8.8,
innanet james,,,,,artist not found!
darcy james argue's secret society,,,,,artist not found!
"masayoshi fujita, jan jelinek",,,,,artist not found!
guided by voices,Warp and Woof,"Apr 26, 2019",76,tbd,
guided by voices,Zeppelin Over China,"Feb 1, 2019",65,tbd,
guided by voices,Space Gun,"Mar 23, 2018",77,7.1,
guided by voices,How Do You Spell Heaven,"Aug 11, 2017",75,tbd,
guided by voices,August by Cake,"Apr 7, 2017",70,8.5,
guided by voices,Please Be Honest,"Apr 22, 2016",66,4.5,
guided by voices,Cool Planet,"May 13, 2014",68,tbd,
guided by voices,Motivational Jumpsuit,"Feb 18, 2014",77,8.0,
guided by voices,English Little League,"Apr 30, 2013",71,tbd,
guided by voices,The Bears for Lunch,"Nov 13, 2012",73,8.5,
guided by voices,Class Clown Spots a UFO,"Jun 12, 2012",76,7.8,
guided by voices,Let's Go Eat the Factory,"Jan 17, 2012",74,7.8,
guided by voices,Suitcase 2: American Superdream Wow,"Nov 8, 2005",68,tbd,
guided by voices,Half Smiles Of The Decomposed,"Aug 24, 2004",73,7.6,
guided by voices,Earthquake Glue,"Aug 19, 2003",78,8.6,
guided by voices,Universal Truths And Cycles,"Jun 18, 2002",76,tbd,
guided by voices,Isolation Drills,"Apr 3, 2001",83,8.3,
guided by voices,Suitcase: Failed Experiments and Trashed Aircraft,"Sep 19, 2000",67,tbd,
bob weir,Clive Davis: The Soundtrack of Our Lives,"Sep 27, 2017",57,tbd,
bob weir,Long Strange Trip,"May 26, 2017",78,9.4,
bob weir,The End of the Road,"Apr 27, 2001",35,tbd,
s u r v i v e,RR7349,"Sep 30, 2016",81,7.8,
steve reich,Pulse/Quartet,"Feb 2, 2018",80,tbd,
steve reich,Steve Reich: Radio Rewrite,"Sep 30, 2014",78,tbd,
carl stone,,,,,artist not found!
bon iver,"I, I","Aug 30, 2019",80,8.2,
bon iver,"22, A Million","Sep 30, 2016",87,8.3,
bon iver,Bon Iver,"Jun 21, 2011",86,8.6,
